,제목,날짜,기관,링크
0,2021 SMART CITY 시민참여 아이디어 경진대회 ,D-5,대구광역시 스마트시티지원센터,https://thinkyou.co.kr/contest/sector_view.asp?idx=16666&page=1&pagesize=30&serstatus=&serdivision=&serfield=5&sertarget=&serprizeMoney=&seritem=0&searchstr=
1,2021 ICT 융합 프로젝트 공모전 ,D-8,(주)엔티렉스-디바이스마트,https://thinkyou.co.kr/contest/sector_view.asp?idx=16631&page=1&pagesize=30&serstatus=&serdivision=&serfield=5&sertarget=&serprizeMoney=&seritem=0&searchstr=
2,2020 기계 시설물 분야 AI 학습용 데이터 활용 경진대회 ,D-3,NIA 한국정보화진흥원,https://thinkyou.co.kr/contest/sector_view.asp?idx=16595&page=1&pagesize=30&serstatus=&serdivision=&serfield=5&sertarget=&serprizeMoney=&seritem=0&searchstr=
3,MZ 인공지능 해커톤 대회 ,D-day,한국지능정보사회진흥원,https://thinkyou.co.kr/contest/sector_view.asp?idx=16552&page=1&pagesize=30&serstatus=&serdivision=&serfield=5&sertarget=&serprizeMoney=&seritem=0&searchstr=
4,군산대학교 해상풍력연구원 모니터링 하우스 공모전 ,D-328,군산대학교 산학협력단,https://thinkyou.co.kr/contest/sector_view.asp?idx=16217&page=1&pagesize=30&serstatus=&serdivision=&serfield=5&sertarget=&serprizeMoney=&seritem=0&searchstr=
5,2020 ZEISS Microscopy Research Contest ,D-35,ZEISS,https://thinkyou.co.kr/contest/sector_view.asp?idx=16210&page=1&pagesize=30&serstatus=&serdivision=&serfield=5&sertarget=&serprizeMoney=&seritem=0&searchstr=
